X,Age,AnnualIncome,CreditScore,Experience,LoanAmount,LoanDuration,NumberOfDependents,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,LoanApproved,RiskScore
47,52,53555,631,31,29418,60,1,221,0.257700044195851,0,1,0.147909137742193,0,0,28,20,9902,1607,12300,27582,4462.91666666667,0.800298276877468,4,2753,0.218918,0.217663879830593,808.590559366012,0.23069903300144,0,47
48,44,105639,627,20,20409,108,0,387,0.28217446641347,1,4,0.327078396634624,0,0,22,21,3379,5476,165235,22300,8803.25,0.623227566828085,5,142935,0.251909,0.263740227203749,495.951574942379,0.100298364233934,0,46
49,18,58342,519,0,10077,24,3,592,0.159214492758553,3,0,0.19286915587164,0,0,20,7,5076,230,25120,15562,4861.83333333333,0.949535892529353,8,9558,0.225577,0.260699050163498,543.249360426276,0.233502319514506,0,50
50,43,121939,653,25,41215,48,0,220,0.532941404198365,2,1,0.24442512318721,0,0,30,12,1365,4000,188167,2457,10161.5833333333,0.844617703189093,8,185710,0.209715,0.184649279571787,1220.7265633854,0.1417817003635,1,32.8
51,35,16054,526,13,20612,36,1,465,0.144362236766924,1,2,0.206533044182919,0,0,25,21,4127,665,51140,11870,1337.83333333333,0.615917072280744,6,39487.3830666666,0.242612,0.231663828028265,799.67333914476,0.945314567692607,0,53
52,31,36057,592,11,29501,36,3,384,0.231684159042131,4,0,0.187428659092861,0,0,18,12,2220,438,19637,56982,3004.75,0.731987106447712,4,1500,0.218501,0.21428528117705,1117.95361168402,0.499859759275818,0,51
53,47,124086,631,27,36798,24,3,713,0.224482288631073,6,1,0.339714474855531,0,0,27,24,3281,1704,32072,21593,10340.5,0.71596315493031,6,10479,0.196298,0.167651799187925,1815.22722778743,0.244497580173824,1,39.2
54,52,272693,586,28,19717,84,0,278,0.37247472493668,2,2,0.270157502432663,0,0,19,13,801,1835,94338,5443,22724.4166666667,0.744494391258415,8,83850.6370666667,0.251717,0.21811452621917,459.59633146117,0.0324583175128589,1,38.4
55,51,48757,615,27,16173,84,3,817,0.21071397128817,1,0,0.305376717388286,0,0,28,19,21739,266,39354,97462,4063.08333333333,0.491342169439311,2,3120,0.233673,0.221322804523553,380.189940155399,0.294650599541908,0,52
56,29,31683,498,5,10566,24,2,183,0.44355410578573,4,2,0.0903706187413158,0,0,22,12,30896,2581,278821,123883,2640.25,0.829092654201392,5,154938,0.236566,0.209471438176581,542.666515322124,0.27484765280641,0,48
57,36,69003,499,11,5376,96,4,458,0.367662789480444,6,2,0.174379819305949,0,0,28,11,983,1153,37496,23994,5750.25,0.779023357197976,3,13502,0.290876,0.248414968406005,129.387573057945,0.10214991923098,1,42.4
58,43,72408,616,18,23181,48,0,803,0.234654441497951,1,2,0.365438816555516,1,0,22,29,3815,305,22524,33442,6034,0.820967193532392,4,5786,0.210181,0.2522172,771.484797554157,0.260935498434564,0,63
59,51,105087,653,33,48331,108,1,772,0.116999562286278,5,1,0.18055754560285,0,1,22,24,21204,2121,201313,59261,8757.25,0.574198601764541,4,142052,0.266831,0.273712498899536,1208.15332538086,0.226115884025335,0,44
60,34,15000,607,11,26412,96,1,468,0.0312666074670237,1,2,0.350112392312279,0,0,18,22,2232,2085,234374,11163,1250,0.825866900497988,6,223211,0.257912,0.276450516996947,685.448680669382,0.922758944535505,0,48
61,37,38513,600,16,21225,48,2,373,0.518635365904348,2,0,0.16843582884036,0,0,22,29,1458,340,44836,28653,3209.41666666667,0.875203421759922,4,16553.6006666667,0.216225,0.231104162530927,681.577143120785,0.328588417351269,0,52
62,26,77555,527,5,22854,36,0,499,0.0954795705875424,6,1,0.188278148236473,0,0,19,22,8710,691,39027,9580,6462.91666666667,0.882474111777751,5,29447,0.244354,0.19993006680143,849.255101014461,0.208614031489569,1,39.2
63,25,15000,576,1,18177,48,0,528,0.273312263382572,6,1,0.236083226201605,0,0,25,3,5689,1111,99036,274582,1250,0.868719772125874,3,1077,0.225177,0.219854905349286,572.542804088821,0.880434243271057,0,57
64,49,24973,611,30,17466,48,3,336,0.280081586976994,1,0,0.414994447446385,0,0,23,12,3167,1547,44944,30121,2081.08333333333,0.872346286074827,9,14823,0.206966,0.221443097594938,551.654440931895,0.426534789219667,0,55
65,56,18248,574,37,16443,24,0,733,0.283474182025217,2,1,0.0636283363199063,0,0,23,20,2682,548,204131,11483,1520.66666666667,0.933891936855889,2,192648,0.204443,0.173698456299411,815.904246232955,1.01856921058721,0,48
66,39,67367,615,15,26889,48,1,317,0.0079659183933911,4,0,0.465912120323765,0,0,29,24,8241,5430,115099,16012,5613.91666666667,0.525456878795339,4,99087,0.214389,0.1715112,777.987122496723,0.19504869550315,1,42.4
67,52,32418,647,29,32208,12,2,447,0.413401982314694,1,0,0.318759767082754,0,0,26,3,2926,533,326015,12696,2701.5,0.778286766555682,3,313319,0.173708,0.150709399879536,2908.1179797034,1.24194631860203,0,50
68,44,26879,649,21,20313,60,1,562,0.433242500243747,3,2,0.219649579143089,0,0,22,29,4029,3740,94575,23485,2239.91666666667,0.754221407377504,5,71090,0.200813,0.198963951360761,536.999939490595,0.490643226083081,0,50
69,32,54128,620,11,20676,36,0,322,0.263498946622371,2,1,0.100135921096617,0,0,32,7,4943,388,92000,4196,4510.66666666667,0.789947459202208,1,87804,0.195676,0.177753037210015,745.15842415287,0.236585521168978,1,36.8
70,44,19924,535,20,21767,48,0,495,0.245326014022963,3,0,0.384352370978219,0,0,32,19,21032,1679,22711,8051,1660.33333333333,0.814455673701561,8,14660,0.249267,0.2991204,782.629286992928,0.76950167857434,0,56
71,58,90788,672,33.2287097896242,18243,36,2,153,0.297925723230521,3,0,0.146633464586613,0,0,20,21,1980,1139,13542,32218,7565.66666666667,0.753031475138351,6,5911,0.167243,0.140428569423877,623.882299092725,0.102685240220213,1,34.4
72,39,190445,619,16,28894,36,3,304,0.263649139258865,4,1,0.0128331622197715,0,0,24,8,2857,956,154003,38230,15870.4166666667,0.961251611942166,6,115773,0.204394,0.21412530585962,1094.71298919911,0.0881333501556318,1,33.6
73,58,35372,612,38,25313,24,1,424,0.291020375896654,3,0,0.404388835697266,0,0,20,26,2811,3235,123931,4752,2947.66666666667,0.857234884655152,3,119179,0.194313,0.196999657831196,1284.61830628222,0.579651127315014,0,50
74,18,15000,570,0,50226,48,1,537,0.20811553094882,10,0,0.226735283434535,0,1,16,26,3575,3286,153676,71478,1250,0.783563628373914,3,82198,0.260226,0.228380005946275,1605.36256997825,1.7138900559826,0,58
75,49,40829,617,25,25478,36,1,785,0.0732205581912403,3,0,0.253745924207216,0,0,11,14,2267,1111,42122,7348,3402.41666666667,0.951948631025853,0,34774,0.201978,0.17931209922315,920.21176486079,0.501176643521259,0,49
76,41,58655,523,16,26493,96,4,206,0.415304422203841,4,0,0.175187563141033,0,0,24,13,2003,1731,64414,41991,4887.91666666667,0.85271371972853,1,22423,0.299993,0.334440137411797,795.165782269816,0.204824642182897,0,51
77,36,68801,531,14,18652,36,0,1044,0.165515713490384,1,2,0.335232923938746,0,1,30,16,1810,630,446359,16938,5733.41666666667,0.554409422563644,2,429421,0.238152,0.2857824,777.352155111573,0.31767308413161,0,53
78,41,92731,619,19,31116,48,1,396,0.12305185150925,4,1,0.221117213852383,0,0,20,3,3025,1004,11209,14838,7727.58333333333,0.553710828124318,3,7629,0.216616,0.215424503272636,972.630200598894,0.177109730372656,0,50
79,18,40050,545,0,112253,48,1,406,0.306127621262465,4,1,0.184527533056013,0,1,33,2,1506,726,18390,29714,3337.5,0.937030242357368,4,7672,0.334753,0.358485696148899,4432.38278416149,1.44970270686487,0,64
80,37,40784,618,13.3175253632888,41465,72,0,370,0.174326244686145,3,0,0.203760956923583,0,0,26,27,21978,1394,197632,25549,3398.66666666667,0.831500989093734,4,172083,0.247465,0.29276347309468,1228.16016466219,0.470231511768004,0,45
81,44,15000,588,21.7955700062108,26563,48,0,378,0.308927642540463,3,3,0.298108408045213,0,0,24,21,1357,2246,496594,22556,1250,0.880859763424723,6,474038,0.227563,0.209816067769681,822.278988795034,0.960223191036027,0,48
82,57,86699,615,39,7469,60,0,413,0.113761867807525,6,2,0.17913554613205,0,0,18,24,1872,8480,36531,70691,7224.91666666667,0.91949493210632,6,8130,0.204969,0.198849736526774,197.405087007737,0.0844861076147688,1,36
83,33,17676,540,8,17801,48,4,226,0.153094568580047,4,1,0.355642790850131,0,0,38,21,8380,1994,70945,22271,1473,0.878423281124057,5,48674,0.242801,0.243880792540787,584.170970661055,0.550014236701327,0,55
84,30,42752,517,4,14379,36,2,363,0.357778636079521,3,0,0.297587934069338,0,0,18,2,6094,1404,172820,26438,3562.66666666667,0.816055799105247,4,146382,0.240879,0.239661811526782,563.873894421655,0.260162956892306,0,53
85,33,29096,570,12,40138,24,3,685,0.141297078456549,2,1,0.239446939506595,0,0,28,19,1461,1471,86250,50013,2424.66666666667,0.76075839033514,4,36237,0.230138,0.248600622033373,2139.40894909474,1.16486484015455,0,53
86,50,60992,663,30,24642,48,0,664,0.252637683873108,0,0,0.0555881712831942,0,0,28,17,4726,1723,52202,13350,5082.66666666667,0.917147963252854,4,38852,0.188142,0.216449288029176,771.630412566236,0.282456140982339,0,44
87,43,100032,524,21,19105,60,0,824,0.106728644103128,5,0,0.22664986790753,1,0,24,29,9197,302,49889,4301,8336,0.831493946751173,6,45588,0.262105,0.209684,516.514890252426,0.160810327525483,1,49.6
88,33,35882,620,11,9259,48,0,257,0.170245836334103,3,0,0.147593004707392,0,0,23,11,3552,1162,61154,91262,2990.16666666667,0.883371578838125,3,8266,0.194259,0.200011477924951,281.760387200384,0.180177377136297,0,47
89,46,32781,623,22,17468,60,1,1180,0.0874823837188859,4,0,0.0937773219549579,0,0,23,19,7428,2122,299192,4938,2731.75,0.660953654960299,2,294254,0.210968,0.23206532325493,494.506126379584,0.612979272034258,0,41
90,41,51707,585,18,20069,72,3,407,0.0059223893278881,5,0,0.217388378659015,0,0,25,7,3815,1252,24114,24580,4308.91666666667,0.8373237138844,4,2253,0.242569,0.268223329089061,563.258304269839,0.225174534419673,0,52
91,51,31251,596,30,66582,24,0,357,0.566448096977905,2,2,0.160169553885281,0,1,21,25,2313,945,30153,37940,2604.25,0.784061566165549,5,3276,0.243582,0.247456440062716,3545.09104722928,1.49835501477557,0,61
92,31,22359,524,11,26889,48,2,216,0.221131695819441,5,1,0.45525993113226,0,0,14,8,24764,3578,131521,46881,1863.25,0.853879192433951,4,84640,0.259889,0.240713535040226,877.691776736768,0.586980693270773,0,57
93,36,152650,610,12,24815,48,3,148,0.103056870955778,3,1,0.384307505540348,0,0,21,25,4346,587,127009,89100,12720.8333333333,0.772580977229694,6,45057.6276333333,0.214815,0.213511489839875,773.108260998285,0.0724094276579064,1,38.4
94,35,15120,562,11,21849,84,0,423,0.515726665602171,5,1,0.238644521033425,0,0,24,26,1874,1245,18522,14697,1260,0.951149524950168,5,3825,0.265849,0.244170701392202,544.916870459782,0.768187992428399,0,58
95,22,59830,570,0,22734,24,2,246,0.432399872563476,3,2,0.572327681860766,0,0,29,9,2511,329,449345,13537,4985.83333333333,0.748504729778885,7,435808,0.212734,0.174626639164887,1129.08092354152,0.275797611273579,1,45.6
96,43,55308,645,22,19539,72,0,362,0.0715581905110223,3,0,0.266209928895191,0,0,29,24,5995,932,101618,7871,4609,0.966476270744883,4,93747,0.212039,0.1696312,434.265166928783,0.17276310846795,1,36.8
97,43,30948,601,17,25291,36,0,286,0.0509513419696787,1,0,0.360348689376147,0,0,19,25,7167,291,99978,21318,2579,0.74357776569212,9,78660,0.209791,0.223307717595415,970.207872447337,0.487091071131189,0,49
98,40,56940,592,21,15752,96,0,213,0.425049982674034,3,0,0.117237584704376,0,0,20,7,1349,634,97769,33321,4745,0.790791161390769,5,64448,0.254752,0.26160149848884,392.966121133006,0.127706242599158,0,50
99,37,44000,539,13,28714,60,3,457,0.414182437484143,3,1,0.199994092669249,0,0,10,29,5872,2939,331208,29418,3666.66666666667,0.946449956266186,8,301790,0.264214,0.244173748394804,833.014273319801,0.351822074541764,0,46
100,23,81554,509,3.82241458386578,35101,72,1,519,0.357920901393728,5,0,0.294323549780177,0,0,23,24,3233,1955,84421,14641,6796.16666666667,0.823124384903693,5,69780,0.295601,0.316512275360421,1093.62867533643,0.237285039409926,0,49
101,34,26567,612,13,17339,60,1,194,0.0873860931301412,1,1,0.0653370744758526,0,0,17,14,2738,512,55729,81589,2213.91666666667,0.682891631246274,4,9625,0.216339,0.232191324570552,490.980029318058,0.309397385923013,0,48
102,35,33569,596,9,37172,48,0,212,0.262914747290045,3,0,0.0325882994284799,0,0,20,8,2103,12534,56452,23346,2797.41666666667,0.706785894952256,6,33106,0.234172,0.224569569410828,1180.38496424707,0.497739568380493,0,52
103,30,94238,608,6,15917,36,3,203,0.164377527164067,3,2,0.458928081731727,0,0,23,2,3382,7940,54668,13137,7853.16666666667,0.607675432569381,3,41531,0.196917,0.187632533249307,581.550389162695,0.099902424393051,1,44
104,38,45145,587,17,11431,48,1,879,0.126124945699609,5,0,0.297410249238826,0,0,27,24,7060,2678,119670,26515,3762.08333333333,0.958147173038061,9,93155,0.212931,0.196131632018912,345.497846865751,0.325483977459054,1,40
105,44,70881,597,23,34590,48,0,324,0.30403187309642,1,1,0.117077159340471,0,0,22,19,2050,1136,3628,21804,5906.75,0.787064061769774,8,1188,0.23109,0.214166497809451,1078.87018946491,0.237502888977002,0,50
106,62,105240,656,39,13937,108,3,391,0.24897456514379,6,2,0.198300230588678,1,0,32,26,1960,2516,62442,28628,8770,0.96470514370327,4,33814,0.230937,0.229707857476626,306.304127093839,0.0795101627244969,0,55
107,42,63709,517,18,22221,48,0,623,0.283858889875831,2,3,0.473213044393522,0,0,41,18,3930,136,80888,12851,5309.08333333333,0.62080738217599,3,68037,0.258721,0.265423640644172,756.028545827168,0.259748898113705,0,57
108,43,31713,487,18,38865,48,1,314,0.249955683417554,2,3,0.601057214151716,0,0,20,6,395,231,49718,43113,2642.75,0.978651736189775,3,6605,0.290365,0.286430461085108,1368.86725582899,0.636786398951467,0,64
109,39,29900,536,17,23396,72,3,589,0.103820671265168,3,0,0.185815459141144,0,0,28,4,470,2353,23801,36682,2491.66666666667,0.936513598378478,6,2585,0.270396,0.299452037510294,703.022859665007,0.51853760254114,0,54
110,18,87673,608,0,10667,72,3,725,0.221963021311718,4,0,0.385683147077087,0,1,23,19,1134,551,71561,5492,7306.08333333333,0.736348904826661,5,66069,0.221667,0.240020390919361,280.841507325559,0.137671781368343,1,43.2
111,39,55454,565,16,35551,36,3,1206,0.240673895666768,5,0,0.526388090133425,0,0,22,13,4159,1098,33268,27329,4621.16666666667,0.973360912990588,4,5939,0.238051,0.254148218882753,1421.31293043341,0.568538882050004,0,61
112,40,40722,558,18,31637,120,2,269,0.172711392542244,5,2,0.143886778457811,0,0,22,9,9140,398,141270,20184,3393.5,0.801991761783386,4,121086,0.307637,0.302798547432138,840.555028275545,0.326964793951833,0,47
113,69,76571,680,49,34173,48,1,407,0.158676837302446,7,2,0.216618899532913,0,0,20,3,2220,3117,78008,5915,6380.91666666667,0.959075228326481,7,72093,0.189173,0.191127595848055,1023.81120854852,0.22423286234452,0,46
114,37,22901,525,14,18493,48,2,288,0.0859222327796731,1,1,0.264111955970849,0,0,25,6,3120,3491,99630,10098,1908.41666666667,0.924738897161791,3,89532,0.250993,0.253403309389936,616.690288339272,0.474052812544049,0,53
115,43,49421,609,21,17161,72,3,438,0.362115605336224,3,4,0.258787054115364,0,0,21,8,10050,1546,17627,40586,4118.41666666667,0.853843559421957,8,9540,0.227661,0.258068075954919,470.801035382834,0.220667579057364,0,51
116,39,43507,611,16,31845,48,3,544,0.374989952679138,4,2,0.0847899222421028,1,0,32,15,1192,5407,30751,34764,3625.58333333333,0.728615290665906,7,6480,0.221345,0.265614,1083.81006564106,0.448978803128064,0,60
117,25,41402,572,4,25900,36,4,419,0.111313556572689,2,2,0.0923347235350403,0,0,29,21,9920,6772,36312,37402,3450.16666666667,0.729440679148017,6,4623,0.2249,0.237735021952886,1013.05330579535,0.415067863135699,0,50
118,53,37405,626,30,15770,48,0,442,0.227953805925859,3,0,0.299644558091043,0,1,22,19,14266,762,15028,29045,3117.08333333333,0.853865260365856,3,4530,0.19777,0.206105430974419,485.03163599349,0.29740354583403,0,56
